,date,open,high,low,close,Adj Close,volume
932,2004-05-18,1085.25,1094.5,1084.5,1090.25,1090.25,644992
933,2004-05-19,1090.75,1105.75,1085.75,1086.75,1086.75,1029552
934,2004-05-20,1087.0,1092.75,1084.0,1090.5,1090.5,659182
935,2004-05-21,1090.0,1099.75,1088.75,1092.5,1092.5,674780
936,2004-05-24,1092.75,1101.75,1091.0,1096.5,1096.5,725025
937,2004-05-25,1096.5,1113.75,1090.0,1112.5,1112.5,914619
938,2004-05-26,1112.0,1117.0,1108.75,1116.0,1116.0,605407
939,2004-05-27,1116.0,1124.5,1114.5,1122.75,1122.75,706751
940,2004-05-28,1122.25,1123.75,1117.5,1120.25,1120.25,706751
941,2004-05-31,1121.5,1123.0,1118.75,1121.5,1121.5,359808
942,2004-06-01,1121.25,1122.75,1112.5,1121.25,1121.25,621570
943,2004-06-02,1121.5,1128.5,1118.25,1125.5,1125.5,570289
944,2004-06-03,1125.25,1126.0,1114.5,1115.0,1115.0,613526
945,2004-06-04,1116.0,1129.5,1115.5,1123.25,1123.25,623184
946,2004-06-07,1122.5,1142.0,1122.5,1140.25,1140.25,578498
947,2004-06-08,1140.25,1142.75,1135.5,1142.0,1142.0,518265
948,2004-06-09,1141.75,1143.0,1130.5,1131.5,1131.5,615183
949,2004-06-10,1131.75,1137.0,1128.5,1136.5,1136.5,615183
950,2004-06-11,1136.25,1137.0,1132.75,1136.5,1136.5,615183
951,2004-06-14,1134.75,1135.0,1122.0,1125.5,1125.5,109840
952,2004-06-15,1125.75,1138.0,1125.5,1134.0,1134.0,117868
953,2004-06-16,1133.5,1137.0,1130.25,1133.0,1133.0,61834
954,2004-06-17,1133.0,1134.25,1126.5,1131.75,1131.75,54769
955,2004-06-18,1131.5,1132.0,1127.0,1129.5999755859375,1129.5999755859375,522615
956,2004-06-21,1134.75,1139.25,1128.25,1129.25,1129.25,407234
957,2004-06-22,1129.25,1135.75,1123.75,1135.0,1135.0,585314
958,2004-06-23,1134.75,1145.25,1131.0,1144.0,1144.0,553760
959,2004-06-24,1144.0,1146.25,1139.5,1141.25,1141.25,477243
960,2004-06-25,1141.5,1146.0,1133.5,1135.25,1135.25,476509
961,2004-06-28,1136.75,1145.75,1131.0,1131.75,1131.75,569180
962,2004-06-29,1132.0,1138.5,1127.75,1135.75,1135.75,515740
963,2004-06-30,1135.75,1144.5,1133.0,1140.5,1140.5,708253
964,2004-07-01,1140.75,1143.75,1122.25,1126.25,1126.25,886319
965,2004-07-02,1126.5,1129.5,1122.5,1125.75,1125.75,886319
966,2004-07-05,1125.75,1126.25,1122.75,1124.25,1124.25,457987
967,2004-07-06,1125.75,1129.0,1112.5,1115.0,1115.0,750511
968,2004-07-07,1115.0,1122.0,1113.5,1118.0,1118.0,518030
969,2004-07-08,1117.5,1119.25,1108.0,1110.75,1110.75,733944
970,2004-07-09,1110.75,1115.5,1110.0,1112.75,1112.75,489827
971,2004-07-12,1113.75,1116.25,1106.0,1113.5,1113.5,660826
972,2004-07-13,1113.5,1116.0,1111.0,1114.25,1114.25,484624
973,2004-07-14,1111.75,1119.75,1106.75,1111.25,1111.25,800975
974,2004-07-15,1111.5,1115.0,1103.0,1103.5,1103.5,681355
975,2004-07-16,1105.0,1112.5,1100.0,1102.75,1102.75,655474
976,2004-07-19,1103.0,1106.0,1095.5,1098.75,1098.75,687796
977,2004-07-20,1098.75,1114.75,1095.75,1112.0,1112.0,661956
978,2004-07-21,1112.0,1116.0,1089.5,1090.5,1090.5,891225
979,2004-07-22,1090.25,1099.25,1083.0,1093.75,1093.75,854998
980,2004-07-23,1092.0,1094.0,1082.25,1085.5,1085.5,638928
981,2004-07-26,1085.75,1089.5,1077.0,1083.0,1083.0,728731
982,2004-07-27,1083.0,1096.0,1082.75,1092.5,1092.5,744885
983,2004-07-28,1092.5,1098.5,1080.75,1095.5,1095.5,802235
984,2004-07-29,1095.75,1103.75,1092.5,1100.25,1100.25,671856
985,2004-07-30,1100.25,1104.0,1096.0,1101.0,1101.0,493272
986,2004-08-02,1098.0,1108.25,1095.5,1105.5,1105.5,584118
987,2004-08-03,1105.75,1106.5,1096.5,1097.25,1097.25,575958
988,2004-08-04,1097.5,1102.25,1089.0,1097.0,1097.0,644751
989,2004-08-05,1097.0,1098.75,1077.25,1078.5,1078.5,657904
990,2004-08-06,1078.75,1083.0,1060.75,1063.5,1063.5,896597
991,2004-08-09,1064.25,1069.25,1062.5,1064.25,1064.25,480071
992,2004-08-10,1064.5,1078.75,1064.0,1076.25,1076.25,603931
993,2004-08-11,1076.25,1077.25,1065.25,1075.75,1075.75,682787
994,2004-08-12,1075.75,1078.0,1060.0,1063.75,1063.75,718858
995,2004-08-13,1064.5,1067.75,1060.0,1066.25,1066.25,592108
996,2004-08-16,1065.5,1080.75,1061.0,1077.5,1077.5,627915
997,2004-08-17,1077.25,1087.0,1075.5,1083.0,1083.0,593673
998,2004-08-18,1083.0,1096.0,1078.0,1094.5,1094.5,717331
999,2004-08-19,1094.25,1095.5,1085.75,1091.25,1091.25,607182
1000,2004-08-20,1091.25,1100.5,1087.25,1098.75,1098.75,566065
1001,2004-08-23,1097.5,1101.75,1094.25,1096.25,1096.25,547848
1002,2004-08-24,1096.25,1101.25,1092.25,1097.5,1097.5,556798
1003,2004-08-25,1097.25,1106.5,1092.75,1103.75,1103.75,576935
1004,2004-08-26,1103.75,1106.75,1102.0,1104.5,1104.5,331025
1005,2004-08-27,1104.0,1109.75,1103.25,1108.25,1108.25,335912
1006,2004-08-30,1107.5,1108.0,1098.0,1099.0,1099.0,359193
1007,2004-08-31,1099.25,1105.25,1094.25,1104.0,1104.0,623724
1008,2004-09-01,1105.0,1109.75,1098.0,1106.75,1106.75,613831
1009,2004-09-02,1106.5,1120.25,1104.5,1119.5,1119.5,512030
1010,2004-09-03,1116.25,1121.25,1112.75,1114.5,1114.5,512030
1011,2004-09-06,1114.75,1118.5,1114.75,1118.25,1118.25,459941
1012,2004-09-07,1114.75,1124.5,1114.75,1122.25,1122.25,657022
1013,2004-09-08,1122.0,1123.5,1116.0,1118.75,1118.75,655151
1014,2004-09-09,1118.25,1121.75,1113.5,1117.5,1117.5,230814
1015,2004-09-10,1118.0,1125.5,1113.75,1123.25,1123.25,124196
1016,2004-09-13,1123.5,1130.25,1122.75,1127.75,1127.75,97543
1017,2004-09-14,1127.5,1129.75,1124.75,1129.5,1129.5,82975
1018,2004-09-15,1129.25,1129.75,1119.5,1120.25,1120.25,51839
1019,2004-09-16,1120.75,1126.25,1120.5,1124.0,1124.0,37632
1020,2004-09-17,1124.0,1128.0,1123.0,1127.02001953125,1127.02001953125,518182
1021,2004-09-20,1128.75,1129.0,1120.5,1122.25,1122.25,563160
1022,2004-09-21,1122.5,1132.5,1121.25,1127.25,1127.25,543857
1023,2004-09-22,1127.0,1127.5,1112.0,1113.0,1113.0,757021
1024,2004-09-23,1112.75,1115.0,1107.0,1107.25,1107.25,616454
1025,2004-09-24,1107.25,1114.5,1107.0,1111.5,1111.5,421659
1026,2004-09-27,1111.25,1114.0,1103.25,1105.25,1105.25,547651
1027,2004-09-28,1105.25,1112.5,1101.25,1109.75,1109.75,661460
1028,2004-09-29,1109.75,1115.5,1107.25,1115.25,1115.25,575671
1029,2004-09-30,1115.25,1117.0,1109.5,1115.0,1115.0,593430
1030,2004-10-01,1115.0,1133.5,1111.75,1133.25,1133.25,679874
1031,2004-10-04,1131.5,1141.25,1131.0,1135.5,1135.5,570055
1032,2004-10-05,1135.25,1140.0,1132.25,1136.5,1136.5,531192
1033,2004-10-06,1135.75,1143.75,1133.5,1142.75,1142.75,590808
1034,2004-10-07,1143.0,1143.0,1130.5,1131.5,1131.5,551060
1035,2004-10-08,1131.5,1136.0,1120.25,1122.0,1122.0,718784
1036,2004-10-11,1122.0,1127.0,1122.0,1126.0,1126.0,285971
1037,2004-10-12,1125.75,1126.75,1116.0,1122.5,1122.5,712789
1038,2004-10-13,1123.5,1127.5,1109.5,1112.25,1112.25,785662
1039,2004-10-14,1112.0,1115.5,1102.0,1103.0,1103.0,830879
1040,2004-10-15,1103.0,1113.75,1102.0,1108.25,1108.25,774418
1041,2004-10-18,1108.75,1115.25,1102.5,1113.0,1113.0,660608
1042,2004-10-19,1113.5,1118.5,1102.0,1103.5,1103.5,854833
1043,2004-10-20,1103.5,1104.25,1093.75,1101.75,1101.75,863732
1044,2004-10-21,1101.75,1109.25,1098.0,1107.75,1107.75,813591
1045,2004-10-22,1106.25,1109.75,1094.75,1096.0,1096.0,664670
1046,2004-10-25,1095.5,1097.0,1088.0,1095.25,1095.25,735235
1047,2004-10-26,1095.5,1112.0,1094.5,1111.5,1111.5,806763
1048,2004-10-27,1111.0,1126.75,1106.75,1124.75,1124.75,963330
1049,2004-10-28,1124.0,1131.25,1120.25,1127.5,1127.5,664428
1050,2004-10-29,1127.75,1132.0,1124.5,1130.25,1130.25,556564
1051,2004-11-01,1127.5,1134.0,1126.25,1130.75,1130.75,494666
1052,2004-11-02,1130.75,1141.0,1127.75,1130.5,1130.5,831105
1053,2004-11-03,1130.5,1149.0,1127.25,1145.0,1145.0,981514
1054,2004-11-04,1144.25,1162.0,1142.0,1160.5,1160.5,897586
1055,2004-11-05,1160.5,1171.75,1158.25,1167.75,1167.75,833448
1056,2004-11-08,1167.0,1167.5,1162.25,1166.5,1166.5,439648
1057,2004-11-09,1166.5,1170.0,1162.75,1164.25,1164.25,589789
1058,2004-11-10,1164.5,1170.5,1162.75,1164.75,1164.75,694097
1059,2004-11-11,1165.0,1176.0,1163.0,1173.75,1173.75,548869
